latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.77178,-1.7249,DECTAMILL GROUP LIMITED,www.ralkencolours.co.uk,BD4 9NF,Total Exemption Small,Dyes and pigments
53.76633,-1.57824,INTERNATIONAL PAINT LIMITED,www.akzonobel.com,LS11 0LS,Full accounts,"Paints, varnishes, printing ink etc"
53.81035,-1.78089,RIALCO LIMITED,www.rialco.co.uk,BD9 4SH,Group,"Paints, varnishes, printing ink etc"
53.73039,-1.66559,PRESSROOM PARTNERS LTD,www.pressroompartners.co.uk,WF17 9NR,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.59137,-1.08906,HUNTSMAN P&A UK LIMITED,www.huntsman.com,TS10 4YA,Full accounts,Dyes and pigments
53.84641,-1.78336,PLASPERTEX PAINT COMPANY LIMITED,www.plaspertex.co.uk,BD17 5DF,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.7971,-1.5514,STRATEGIC COATINGS LIMITED,,LS1 2ED,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.71406,-1.90539,CRESTA COLOURS LIMITED,www.crestacolours.com,HX6 2DU,Total Exemption Small,Dyes and pigments
53.80435,-1.6538,TOWN END (LEEDS) PLC,www.dyes.co.uk,LS13 4LY,Full accounts,Dyes and pigments
53.72831,-1.66288,PPG ARCHITECTURAL COATINGS UK LIMITED,,WF17 9XA,Full accounts,"Paints, varnishes, printing ink etc"
53.62329,-0.68359,JOTUN PAINTS (EUROPE) LIMITED,www.jotun.com,DN15 8RR,Full accounts,"Paints, varnishes, printing ink etc"
54.0031,-1.52239,BELZONA INTERNATIONAL LIMITED,www.belzona.com,HG1 4DS,Group,"Paints, varnishes, printing ink etc"
53.99032,-1.53964,ORICALCUM HOUSE LTD,www.oricalcum.uk,HG1 1EL,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.65217,-1.78484,ASTRASTCAL CHEMICAL SUPPLIES LIMITED,,HD1 5BW,Not Available,Dyes and pigments
53.68773,-1.63417,COUNTER CORROSION ENGINEERING LIMITED,www.countercorrosion.co.uk,WF12 0XD,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.54267,-1.31776,BILLIONS EUROPE LTD,www.billionseurope.com,TS18 3EX,Group,Dyes and pigments
53.74796,-0.34379,FASCINATING FINISHES LIMITED,,HU2 8HX,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.63176,-1.20349,HUNTSMAN P&A UK LIMITED,www.huntsman.com,TS25 2DD,Full accounts,Dyes and pigments
53.7623,-1.41385,ULTRACHEM LIMITED,www.ultrachem.co.uk,LS26 8XT,Group,"Paints, varnishes, printing ink etc"
53.76947,-1.54541,THE THINK INK COMPANY LTD,,LS11 5UU,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.57579,-1.2474,JOHN DAVEY LIMITED,www.johndaveypaints.co.uk,TS1 5JU,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.1482,-2.30072,WALLACE SEYMOUR FINE ART PRODUCTS LIMITED,www.pipseymour.co.uk,BD24 0HN,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.55729,-1.29905,MANOR COATING SYSTEMS LIMITED,www.manorcoatingsystems.co.uk,TS17 7AF,Full accounts,"Paints, varnishes, printing ink etc"
53.76454,-1.6462,COLOUR FOUNTAIN LIMITED,www.colourfountain.co.uk,BD11 1NQ,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.79317,-1.234,CENTRE COLOURS LIMITED,www.centrecolours.co.uk,LS25 6EP,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.58272,-0.10347,HUNTSMAN P&A UK LIMITED,www.huntsman.com,DN31 2SW,Full accounts,Dyes and pigments
54.00406,-1.44897,RESIMAC LIMITED,www.resimac.co.uk,HG5 8LF,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.70131,-1.67142,VFM COATINGS LIMITED,,WF16 0PS,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.61804,-0.16853,ARKEMA COATINGS RESINS LIMITED,www.arkema.com,DN41 8FG,Full accounts,"Paints, varnishes, printing ink etc"
53.81235,-1.54204,KOKOPELI PAINTS LIMITED,,LS7 2AP,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.78205,-1.77897,FARROW & BALL LIMITED,www.farrow-ball.com,BD7 3BS,Full accounts,"Paints, varnishes, printing ink etc"
53.64833,-1.7815,VIVIMED LABS EUROPE LTD,www.vivimedlabs.com,HD1 6BU,Full accounts,Dyes and pigments
53.73145,-1.34638,HICKSON LIMITED,www.lonzawood.com,WF10 2JT,Full accounts,Dyes and pigments
53.68473,-1.6238,YORKSHIRE PAINTS-OZCHEM LIMITED,www.yorkshirepaints-ozchem.com,WF12 9AW,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.58036,-0.09975,HUNTSMAN P&A UK LIMITED,www.huntsman.com,DN31 2SY,Full accounts,Dyes and pigments
53.731071,-0.368705,PITTAWAY SPECIAL COATINGS LIMITED,www.pittawaygroup.com,HU3 4NB,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.6448,-1.76917,POLYSEAM LIMITED,www.polyseam.com,HD5 9AF,Small company,"Paints, varnishes, printing ink etc"
53.67477,-1.49526,COUNTER CORROSION ENGINEERING LIMITED,www.countercorrosion.co.uk,WF1 5RR,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.75309,-0.33658,TEAL & MACKRILL LIMITED,www.coo-var.co.uk,HU2 0HN,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.58486,-0.12836,ACHTIS LTD.,www.achtisgroup.com,DN37 9TL,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.5581,-1.2986,MANOR COATING SYSTEMS LIMITED,www.manorcoatingsystems.co.uk,TS17 7AH,Full accounts,"Paints, varnishes, printing ink etc"
53.7274,-1.88267,BRENNTAG COLOURS LIMITED,www.brenntag.co.uk,HX1 4PN,Full accounts,Dyes and pigments
53.68635,-1.6259,YORKSHIRE PAINTS-OZCHEM LIMITED,www.yorkshirepaints-ozchem.com,WF12 9AQ,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.50916,-1.0337,PPB SUPPLIES LIMITED,,DN3 3NT,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.71648,-1.88397,A.Z.O. LIMITED,www.sale-dgd.co.uk,HX1 3SL,Total Exemption Small,Dyes and pigments
53.7167,-1.87023,WATER LANE DYE SERVICES LIMITED,,HX1 2EX,Total Exemption Small,Dyes and pigments
53.68003,-1.76237,POWDER COATERS SOWERBY BRIDGE LIMITED,,HD2 1GQ,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.55315,-1.55853,AXALTA POWDER COATING SYSTEMS UK LIMITED,www.axaltacoatingsystems.com,DL3 0XH,Full accounts,"Paints, varnishes, printing ink etc"
53.70406,-1.27481,SHERWIN-WILLIAMS UK COATINGS LIMITED,www.sayerlack.com,WF11 0BU,Full accounts,"Paints, varnishes, printing ink etc"
53.68375,-1.50317,ALLBASE COATINGS LTD,www.allbase.co.uk,WF1 2TA,Not Available,"Paints, varnishes, printing ink etc"
53.77178,-1.7249,DECTAMILL LIMITED,www.ralkencolours.co.uk,BD4 9NF,Total Exemption Small,Dyes and pigments
53.73175,-0.36877,PITTAWAY DECORATIVE GROUP LIMITED,www.ilumitex.co.uk,HU3 4NA,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.71754,-1.85481,WATER LANE DYE SERVICES LIMITED,,HX3 9HG,Total Exemption Small,Dyes and pigments
53.78365,-1.52882,CORROSIONEERING GROUP LIMITED,www.corrocoat.com,LS10 1PW,Group,"Paints, varnishes, printing ink etc"
53.72833,-1.89371,CRESTA COLOURS LIMITED,www.crestacolours.com,HX2 0HS,Total Exemption Small,Dyes and pigments
54.53206,-1.35891,YORCHEM LTD,www.yorchem.com,TS16 0RD,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.7716,-1.54774,WIKOFF COLOUR (UK) LIMITED,www.wikoff.com,LS11 5LQ,Small company,"Paints, varnishes, printing ink etc"
53.782714,-1.753652,RIALCO LIMITED,www.rialco.co.uk,BD5 7DT,Group,"Paints, varnishes, printing ink etc"
53.58681,-1.62808,SHIELD COATINGS LTD,www.shieldcoatings.co.uk,HD8 9LA,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.28964,-1.59281,FORGE CONSULTING (UK) LIMITED,,DL8 1AQ,Total Exemption Small,Dyes and pigments
53.48389,-1.18286,SIMBA MATERIALS LIMITED,www.simbamaterials.com,DN12 1EQ,Total Exemption Small,Dyes and pigments
53.74038,-0.33629,WATERSIDE COLOURS LIMITED,,HU1 1TJ,Not Available,Dyes and pigments
53.56534,-0.65074,PROTEK - ASHBY TIMBER TREATMENTS LIMITED,,DN16 2SA,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.73947,-1.60043,COLOUR FOUNTAIN LIMITED,www.colourfountain.co.uk,LS27 0LE,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.61804,-0.16853,ARKEMA COATINGS RESINS LIMITED,www.arkema.com,DN41 8DR,Full accounts,"Paints, varnishes, printing ink etc"
53.64527,-1.73187,UNICOLOUR LIMITED,www.unicolour.co.uk,HD5 0AN,Total Exemption Small,Dyes and pigments
53.69844,-1.77661,AVOCET DYE AND CHEMICAL CO. LIMITED,www.avocet-dyes.co.uk,HD6 1LQ,Total Exemption Small,Dyes and pigments
53.49801,-1.15245,ULTRIMAX COATINGS LIMITED,www.ultrimaxcoatings.co.uk,DN4 8QG,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.78365,-1.52882,CORROCOAT LIMITED,www.corrocoat.com,LS10 1PW,Full accounts,"Paints, varnishes, printing ink etc"
54.13889,-1.5186,T.& R.WILLIAMSON LIMITED,www.trwilliamson.co.uk,HG4 1TP,Small company,"Paints, varnishes, printing ink etc"
53.82304,-0.44171,HIGH PERFORMANCE COLOURS LIMITED,,HU17 8PJ,Total Exemption Full,Dyes and pigments
53.66541,-1.50936,TOYO INK EUROPE UK LTD,www.arets.com,WF2 7AL,Full accounts,"Paints, varnishes, printing ink etc"
53.70381,-1.39959,GARDINER COLOURS LIMITED,www.gardinercolours.com,WF6 1QT,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.5715,-0.09065,MANOR COATING SYSTEMS LIMITED,www.manorcoatingsystems.co.uk,DN31 1XT,Full accounts,"Paints, varnishes, printing ink etc"
53.84326,-1.7603,MANOR COATING SYSTEMS LIMITED,www.manorcoatingsystems.co.uk,BD17 7DP,Full accounts,"Paints, varnishes, printing ink etc"
53.74682,-0.34147,WB COATINGS SOLUTIONS LIMITED,,HU1 3TG,Not Available,"Paints, varnishes, printing ink etc"
54.56834,-1.31258,DACRYLATE PAINTS LIMITED,www.dacrylate.co.uk,TS18 2BS,Small company,"Paints, varnishes, printing ink etc"
54.08806,-1.39739,RESIMAC LIMITED,www.resimac.co.uk,YO51 9HS,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.0671,-2.27659,WALLACE SEYMOUR FINE ART PRODUCTS LIMITED,www.pipseymour.co.uk,BD24 9HX,Total Exemption Small,"Paints, varnishes, printing ink etc"
53.78847,-1.53282,MANOR COATING SYSTEMS LIMITED,www.manorcoatingsystems.co.uk,LS10 1LB,Full accounts,"Paints, varnishes, printing ink etc"
53.63859,-0.29385,HUNTSMAN P&A UK LIMITED,www.huntsman.com,DN40 3JY,Full accounts,Dyes and pigments
54.63579,-1.32896,INORGANIC PIGMENTS LIMITED,,TS22 5FD,Full accounts,Dyes and pigments
54.63579,-1.32896,HUNTSMAN P&A UK LIMITED,www.huntsman.com,TS22 5FD,Full accounts,Dyes and pigments
53.79933,-1.77999,DURAPOL LIMITED,www.durapol.co.uk,BD8 9HQ,Total Exemption Small,"Paints, varnishes, printing ink etc"
54.34919,-1.44839,JOHN DAVEY LIMITED,www.johndaveypaints.co.uk,DL6 2NB,Total Exemption Small,"Paints, varnishes, printing ink etc"
