latitude,longitude,name,url,postcode,Registered_accounts_type
53.85275,-1.05152,YORVALE LIMITED,www.yorvale.co.uk,YO19 6ED,Total Exemption Small
54.28421,-0.39122,HARBOUR BAR LIMITED,www.jimmycorrigans.com,YO11 1PE,Small company
53.72174,-1.88121,TUBZEE LIMITED,www.tubzee.co.uk,HX1 4DX,Total Exemption Small
54.48913,-1.13598,A SUGGITT LIMITED,,TS9 6NF,Total Exemption Small
54.2091,-0.29393,ROBERT DALE & SONS (FILEY) LIMITED,,YO14 0AA,Total Exemption Small
53.77762,-1.55455,WIGTON DISTRIBUTION LTD,,LS11 6BH,Not Available
54.2824,-0.41089,JACONELLI (SCARBOROUGH) LIMITED,www.jaconelli.co.uk,YO12 7BG,Total Exemption Small
53.7984,-1.77242,QUEENS QULFI LIMITED,,BD8 8JZ,Not Available
53.96084,-0.57945,CREAM OF THE WOLDS LIMITED,,YO25 9EJ,Total Exemption Small
53.90187,-1.12073,YORVALE LIMITED,www.yorvale.co.uk,YO23 2XA,Total Exemption Small
54.57174,-1.20629,R&R ICE CREAM UK LIMITED,www.richmond-icecream.co.uk,TS3 6LL,Full accounts
53.99202,-1.51953,CROWN PLACE (HARROGATE) LTD,,HG2 7SB,Total Exemption Small
53.71863,-1.87302,A.COLETTA & SONS LIMITED,,HX1 1EB,Total Exemption Small
53.72575,-1.98887,LAKEBEECH LTD.,,HX7 5HR,Total Exemption Small
54.30565,-1.5639,R&R ICE CREAM UK LIMITED,www.richmond-icecream.co.uk,DL7 9UL,Full accounts
54.30565,-1.5639,FREDERICKS DAIRIES LIMITED,www.rr-icecream.eu,DL7 9UL,Full accounts
54.55935,-1.33051,M PACITTO LTD,,TS18 4DT,Total Exemption Small
54.17325,-1.48159,JOLLYUM LIMITED,,HG4 5NJ,Total Exemption Small
54.54766,-1.54568,PROTEIN FIRST LTD.,www.proteinfirst.com,DL1 3DA,Total Exemption Small
53.54489,-1.15102,ICE CREAM DIRECT (CENTRAL) LIMITED,,DN5 0BE,Total Exemption Small
54.48718,-0.61437,TEARE WOOD'S LUXURY ICE CREAM LTD,www.tearewoods.co.uk,YO21 3PW,Total Exemption Small
54.61853,-1.06626,G PACITTO & SONS (REDCAR) LIMITED,,TS10 3BZ,Total Exemption Small
53.56224,-0.06792,BIRDS EYE LIMITED,www.birdseye.co.uk,DN32 9EQ,Full accounts
54.26182,-1.72273,BRYMOR LIMITED,,HG4 4PG,Total Exemption Small
53.6337,-1.79848,DIXONS MILK ICES LIMITED,www.dixonsmilkices.co.uk,HD1 3UB,Total Exemption Small
53.72136,-1.88153,TUBZEE LIMITED,www.tubzee.co.uk,HX1 4LN,Total Exemption Small
53.74605,-1.59808,THORNTONS LOLLIES LIMITED,www.thorntonslollies.co.uk,LS27 8PZ,Total Exemption Small
54.28343,-0.39433,G & C PACITTO LIMITED,,YO11 1PB,Total Exemption Small
54.48436,-0.61791,TRILLOS OF WHITBY LTD,,YO21 1EB,Total Exemption Small
53.72975,-0.395421,BIRDS EYE LIMITED,www.birdseye.co.uk,HU4 6SH,Full accounts
53.65486,-1.67235,CHARLOTTES JERSEY ICE CREAM LIMITED,www.charlottesjerseyicecream.co.uk,WF12 0NQ,Micro-entity accounts
53.68375,-1.50317,YUMMY YORKSHIRE LIMITED,,WF1 2TA,Total Exemption Small
54.55584,-0.97282,TRILLOS OF WHITBY LTD,,TS12 2BE,Total Exemption Small
53.79621,-1.56674,NORTHERN BLOC ICE CREAM LIMITED,,LS12 2DS,Total Exemption Small
53.79394,-1.76701,ROSSIS ICES (YORKSHIRE) LTD,,BD7 1DL,Total Exemption Small
53.98718,-1.10048,BURGESS ICE CREAM DIRECT LTD,,YO30 4WG,Total Exemption Small
